,,2021,,,,,,,2022,,,,,,
,,Quarter 1,Quarter 2,Semester 1,Quarter 3,Quarter 4,Semester 2,Annual,Quarter 1,Quarter 2,Semester 1,Quarter 3,Quarter 4,Semester 2,Annual
Irrigated Palay,..CORDILLERA ADMINISTRATIVE REGION (CAR),9010,27367.81,36377.81,15407.6,28762,44169.6,80547.41,7129.62,27324.81,34454.43,14452.9,30576.5,45029.4,79483.83
,....Abra,1851,2799.27,4650.27,2152,7747,9899,14549.27,1850.9,2799,4649.9,2152,7747,9899,14548.9
,....Apayao,521,9140,9661,1618,5858,7476,17137,510.72,9150,9660.72,927.31,6522,7449.31,17110.03
,..REGION I (ILOCOS REGION),66220,38644,104864,30301,149318,179619,284483,66582.24,36860.35,103442.59,32105,148111.76,180216.76,283659.35
,....Ilocos Norte,7092,7172,14264,8673,31679,40352,54616,7425,6619,14044,9387,30884,40271,54315
,....Ilocos Sur,5084,2450,7534,4758,19863,24621,32155,4553,1827.35,6380.35,5531,19320,24851,31231.35
Rainfed Palay,..CORDILLERA ADMINISTRATIVE REGION (CAR),167,969,1136,2345.14,17527.2,19872.34,21008.34,242.7,973,1215.7,2869.12,13999.38,16868.5,18084.2
,....Abra,0,0,0,595.14,8239,8834.14,8834.14,0,0,0,595,6651.65,7246.65,7246.65
,....Apayao,167,964,1131,1746,5015.2,6761.2,7892.2,163.7,973,1136.7,2198.12,2940,5138.12,6274.82
,..REGION I (ILOCOS REGION),247,0,247,6355,117950,124305,124552,646,0,646,6772,116331,123103,123749
,....Ilocos Norte,243,0,243,482,10478,10960,11203,248,0,248,539,8807,9346,9594
,....Ilocos Sur,4,0,4,1053,17274,18327,18331,106,0,106,1310,17021,18331,18437
Palay,..CORDILLERA ADMINISTRATIVE REGION (CAR),9177,28336.81,37513.81,17752.74,46289.2,64041.94,101555.75,7372.32,28297.81,35670.13,17322.02,44575.89,61897.9,97568.03
,....Abra,1851,2799.27,4650.27,2747.14,15986,18733.14,23383.41,1850.9,2799,4649.9,2747,14398.65,17145.65,21795.55
,....Apayao,688,10104,10792,3364,10873.2,14237.2,25029.2,674.42,10123,10797.42,3125.43,9462,12587.43,23384.85
,..REGION I (ILOCOS REGION),66467,38644,105111,36656,267268,303924,409035,67228.24,36860.35,104088.59,38877,264442.76,303319.76,407408.35
,....Ilocos Norte,7335,7172,14507,9155,42157,51312,65819,7673,6619,14292,9926,39691,49617,63909
,....Ilocos Sur,5088,2450,7538,5811,37137,42948,50486,4659,1827.35,6486.35,6841,36341,43182,49668.35
White Corn,..CORDILLERA ADMINISTRATIVE REGION (CAR),1117,158.22,1275.22,5128,96,5224,6499.22,1115,152,1267,5125.96,55.76,5181.72,6448.72
,....Abra,1065,0,1065,5073,0,5073,6138,1065,0,1065,5073,0,5073,6138
,....Apayao,9,6,15,15,12,27,42,7,0,7,16,0,16,23
,..REGION I (ILOCOS REGION),6404,3061,9465,1121,1356,2477,11942,6239,3064.15,9303.15,1065.97,1428,2493.97,11797.12
,....Ilocos Norte,2385,278,2663,82,224,306,2969,2443,286,2729,68,236,304,3033
,....Ilocos Sur,1418,1062,2480,645,517,1162,3642,1361,1062,2423,613,549,1162,3585
Yellow Corn,..CORDILLERA ADMINISTRATIVE REGION (CAR),14010,13124.03,27134.03,7746.01,18963,26709.01,53843.04,9521,14079.63,23600.63,9018.74,14440.98,23459.72,47060.35
,....Abra,188,0,188,4,0,4,192,188,0,188,4,0,4,192
,....Apayao,560,3671,4231,1202,1640,2842,7073,423,3814,4237,1550.68,1556.74,3107.42,7344.42
,..REGION I (ILOCOS REGION),56071,25909,81980,869,970,1839,83819,58592,25680,84272,804,1250,2054,86326
,....Ilocos Norte,6031,2111,8142,98,406,504,8646,5774,2398,8172,71,442,513,8685
,....Ilocos Sur,8109,6541,14650,371,240,611,15261,9548,5998,15546,334,461,795,16341
Corn,..CORDILLERA ADMINISTRATIVE REGION (CAR),15127,13282.25,28409.25,12874.01,19059,31933.01,60342.26,10636,14231.63,24867.63,14144.71,14496.74,28641.45,53509.08
,....Abra,1253,0,1253,5077,0,5077,6330,1253,0,1253,5077,0,5077,6330
,....Apayao,569,3677,4246,1217,1652,2869,7115,430,3814,4244,1566.68,1556.74,3123.42,7367.42
,..REGION I (ILOCOS REGION),62475,28970,91445,1990,2326,4316,95761,64831,28744.15,93575.15,1869.97,2678,4547.97,98123.12
,....Ilocos Norte,8416,2389,10805,180,630,810,11615,8217,2684,10901,139,678,817,11718
,....Ilocos Sur,9527,7603,17130,1016,757,1773,18903,10909,7060,17969,947,1010,1957,19926
